"Year","Discharge"
"1960","6744.7134"
"1965","6590.2563"
"1970","5754.9214"
"1975","6951.9844"
"1980","6869.4805"
"1985","5591.028"
"1990","6055.822"
"1995","5345.665"
"2000","6922.5483"
"2005","6200.669"
"2010","5260.824"
"2015","5424.036"
"2020","6040.878"
"2025","5533.6284"
"2030","6620.661"
"2035","5901.349"
"2040","6557.0625"
"2045","7100.525"
"2050","5667.785"
"2055","6844.2783"
"2060","7353.878"
"2065","6743.8584"
"2070","7889.718"
"2075","8284.1045"
"2080","10520.073"
"2085","8317.01"
"2090","8650.148"
"2095","9207.287"
"2100","11094.719"
