"Year","Discharge"
"1974","6070.6255"
"1979","6062.7554"
"1984","6350.0103"
"1989","6637.0107"
"1994","6990.5376"
"1999","7098.9985"
"2004","7027.3335"
"2009","7099.323"
"2014","7143.4775"
"2019","7146.8213"
"2024","7415.8213"
"2029","7638.243"
"2034","8158.154"
"2039","8523.183"
"2044","8971.646"
"2049","9473.714"
"2054","9911.112"
"2059","10381.32"
"2064","10515.526"
"2069","10753.928"
"2074","10927.135"
"2079","11101.431"
"2084","11277.689"
