Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,1350.926556,147.076765,0.385294,0.273374,0.763610,0.175435
2,950.598588,171.796927,5.997482,4.305980,5.028073,1.642451
3,468.021000,406.875475,42.360547,63.907316,35.820046,16.119453
4,183.401563,1429.358581,1018.846386,2046.778358,305.364988,1318.550598
5,110.076875,4023.771210,6162.260560,7462.681722,2044.594324,6075.848633
6,169.476625,6004.609345,10907.637427,10821.427129,13355.219613,12999.156064
7,385.455706,10321.020187,16429.924533,12638.091917,15552.397465,15254.287108
8,1237.132667,19190.676345,17271.227659,13142.679614,12803.729314,17338.471410
9,1955.664778,18166.415035,16369.443305,10226.100849,11935.855945,15098.812279
10,1746.315333,6416.969084,4588.187795,3385.792489,3035.554851,4820.980284
11,1452.092263,745.030250,145.679457,82.524213,72.942356,199.974595
12,1532.223188,198.174584,4.934449,0.234878,5.575555,1.515143
