Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,2096.360515,1228.096229,1466.507551,1452.220456,1467.424159,1507.986916
2,2005.332727,1498.868707,1418.933529,1393.146604,1478.853482,1463.369299
3,1786.708152,2106.522974,2022.837743,2096.411237,2044.640107,1926.240822
4,1889.008147,2568.715666,2776.755312,3518.769003,2701.009958,2618.736377
5,2003.537281,3570.595228,5381.119271,7189.882002,4004.265224,4212.463765
6,3019.453188,4613.298216,7544.646312,9995.876977,12361.576014,9151.125521
7,5077.966871,7832.833346,10817.444057,10746.070264,11690.135914,9939.222634
8,9176.978567,14167.554285,10629.208423,9933.470791,8643.623571,11249.993554
9,14686.866767,14301.842903,11812.134874,7770.045277,9240.824993,11229.858397
10,13619.339125,5743.361673,3808.649250,3637.638426,4138.553522,4380.101723
11,4988.787970,2176.652819,2120.231002,2137.894465,2152.306879,2260.100579
12,2342.507594,1535.651464,1545.526185,1472.353704,1420.480280,1404.569412
