Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,345.310010,12.273265,0.000000,0.000000,0.000000,0.000000
2,174.922907,32.547443,0.021327,0.015689,0.003187,0.000000
3,101.997412,184.225225,9.008765,6.942886,0.956069,3.787062
4,79.321247,574.415155,159.692864,316.847239,30.971716,230.848657
5,109.500867,1229.315231,221.372485,413.279908,195.475830,805.195804
6,324.085469,2098.582283,327.775362,445.501757,897.827776,1177.265991
7,1057.667596,2514.565251,773.927679,240.085640,670.964349,845.147885
8,2787.375636,2639.653316,410.074142,170.678069,406.983627,909.414173
9,4701.659949,3851.898674,734.840857,210.956450,603.774081,998.947686
10,4043.580343,2501.683967,361.215863,527.416084,352.507029,788.311813
11,1842.613455,289.840715,31.451058,58.021009,4.850731,86.189490
12,751.807776,17.284172,0.009627,0.000000,0.586249,0.000000
