Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,1350.926556,102.830548,245.291929,231.352941,203.243112,232.782555
2,950.598588,132.580256,204.391294,143.852927,176.586809,160.020570
3,468.021000,358.660463,249.724990,323.687841,386.326162,222.757868
4,183.401563,762.212027,760.674144,955.072451,762.390720,816.337864
5,110.076875,1218.952910,1322.192004,1467.680429,1192.721496,1284.844174
6,169.476625,1410.021854,1531.474054,1701.858804,1793.393717,1644.506435
7,385.455706,1622.119101,1825.023751,1828.109515,1994.118358,1809.799434
8,1237.132667,2099.366556,1940.742726,1891.447066,1755.799470,1996.916799
9,1955.664778,2046.245625,1913.405163,1659.694527,1739.464173,1803.016763
10,1746.315333,1398.600504,1227.025146,1106.091458,1236.330013,1209.384727
11,1452.092263,524.650179,369.181687,300.709029,413.134648,487.817946
12,1532.223188,173.484400,260.591590,239.943718,195.931234,181.254916
