Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,1586.103452,48.068413,141.461643,95.377109,111.258826,114.547352
2,1090.358479,96.572931,175.193989,128.941573,134.506008,110.972180
3,617.974400,321.450776,316.880457,328.673206,401.157865,231.365019
4,256.496697,662.768553,733.806537,1031.002553,620.226864,727.534801
5,89.227411,1105.321083,1193.520817,1450.541448,1115.825805,1340.975832
6,60.211400,1497.586460,1429.923133,1805.490027,1907.644451,1841.105204
7,250.994474,1810.954032,2017.825850,1977.154100,1982.555038,1934.405379
8,829.011688,2028.483565,1993.077840,1656.070703,1855.362426,1782.475508
9,1452.383532,2210.804621,1908.843857,1518.616663,1946.896251,1909.917060
10,1806.194400,1604.407888,1467.578888,1444.107016,1320.353157,1346.158293
11,1980.065329,433.982643,355.104873,333.397190,366.136072,481.276851
12,1939.919630,81.300364,151.549178,108.265173,129.310186,125.332212
